Site,Chamber,Bath,Temp C,Temp F,Temp2,Pond,Surv,ID
MI,2,1,27,80.6,79.7,29,35,
MI,2,1,27,80.6,79.7,36,22,
MI,2,1,27,80.6,79.7,64,83,
MI,2,1,27,80.6,79.7,Control,101,
MI,2,2,25,77,75.4,29,58,
MI,2,2,25,77,75.4,36,4,
MI,2,2,25,77,75.4,64,72,
MI,2,2,25,77,75.4,Control,95,
MI,2,3,35,95,93,29,14,
MI,2,3,35,95,93,Control,95,
MI,2,6,31.66666667,89,89.2,29,79,
MI,2,6,31.66666667,89,89.2,36,16,
MI,2,6,31.66666667,89,89.2,64,44,
MI,2,6,31.66666667,89,89.2,Control,91,
MI,2,7,27,80.6,80.8,29,44,
MI,2,7,27,80.6,80.8,64,10,
MI,2,7,27,80.6,80.8,Control,96,
MI,2,8,30,86,84.2,29,34,
MI,2,8,30,86,84.2,36,7,
MI,2,8,30,86,84.2,64,61,
MI,2,8,30,86,84.2,Control,99,
MI,2,9,30,86,88,29,54,
MI,2,9,30,86,88,36,85,
MI,2,9,30,86,88,64,41,
MI,2,9,30,86,88,Control,90,
MI,2,10,25,77,79.3,29,35,
MI,2,10,25,77,79.3,36,28,
MI,2,10,25,77,79.3,64,19,
MI,2,10,25,77,79.3,Control,93,
MI,2,12,31.66666667,89,88.3,29,86,
MI,2,12,31.66666667,89,88.3,36,41,
MI,2,12,31.66666667,89,88.3,64,19,
MI,2,12,31.66666667,89,88.3,Control,100,
MI,2,14,35,95,96.4,64,13,
MI,2,14,35,95,96.4,Control,16,
MI,1,1,4,39.2,48,29,75,Very blue
MI,1,1,4,39.2,48,36,65,
MI,1,1,4,39.2,48,64,96,
MI,1,1,4,39.2,48,Control,97,
MI,1,4,12,53.6,53.4,29,64,Blue
MI,1,4,12,53.6,53.4,36,59,
MI,1,4,12,53.6,53.4,64,92,
MI,1,4,12,53.6,53.4,Control,97,
MI,1,5,20,68,66.6,29,19,
MI,1,5,20,68,66.6,64,27,
MI,1,5,20,68,66.6,Control,95,
MI,1,9,12,53.6,55.4,29,31,
MI,1,9,12,53.6,55.4,36,34,
MI,1,9,12,53.6,55.4,Control,99,
MI,1,10,4,39.2,49.2,29,57,
MI,1,10,4,39.2,49.2,36,74,
MI,1,10,4,39.2,49.2,64,93,
MI,1,10,4,39.2,49.2,Control,96,
MI,1,13,20,68,68.7,29,18,
MI,1,13,20,68,68.7,36,94,
MI,1,13,20,68,68.7,64,48,
MI,1,13,20,68,68.7,Control,94,
TX,2,1,27,80.6,81.1,Control,100,
TX,2,1,27,80.6,81.1,108,95,
TX,2,1,27,80.6,81.1,19,85,
TX,2,1,27,80.6,81.1,17,84,
TX,2,2,25,77,75.9,Control,98,
TX,2,2,25,77,75.9,108,93,
TX,2,2,25,77,75.9,19,93,
TX,2,2,25,77,75.9,17,82,
TX,2,3,35,95,94.3,Control,98,
TX,2,3,35,95,94.3,108,78,
TX,2,3,35,95,94.3,19,92,
TX,2,3,35,95,94.3,17,94,
TX,2,4,,,45.7,Control,100,
TX,2,4,,,45.7,108,105,
TX,2,4,,,45.7,19,93,
TX,2,4,,,45.7,17,93,
TX,2,6,31.66666667,89,88.2,Control,105,
TX,2,6,31.66666667,89,88.2,108,98,
TX,2,6,31.66666667,89,88.2,19,97,
TX,2,6,31.66666667,89,88.2,17,99,
TX,2,9,30,86,87.4,Control,98,
TX,2,9,30,86,87.4,108,83,
TX,2,9,30,86,87.4,19,90,
TX,2,9,30,86,87.4,17,100,
TX,2,10,25,77,77,Control,98,
TX,2,10,25,77,77,108,92,
TX,2,10,25,77,77,19,93,
TX,2,10,25,77,77,17,101,
TX,2,11,,,50.5,Control,97,
TX,2,11,,,50.5,108,96,
TX,2,11,,,50.5,19,93,
TX,2,11,,,50.5,17,94,
TX,2,12,31.66666667,89,90.1,Control,95,
TX,2,12,31.66666667,89,90.1,108,91,
TX,2,12,31.66666667,89,90.1,19,94,
TX,2,12,31.66666667,89,90.1,17,88,
TX,2,13,,,68.4,Control,96,
TX,2,13,,,68.4,108,88,
TX,2,13,,,68.4,19,90,
TX,2,13,,,68.4,17,97,
TX,2,14,35,95,94.1,Control,104,
TX,2,14,35,95,94.1,108,83,
TX,2,14,35,95,94.1,19,92,
TX,2,14,35,95,94.1,17,93,
TX,2,15,,,68.4,Control,98,
TX,2,15,,,68.4,108,75,
TX,2,15,,,68.4,19,96,
TX,2,15,,,68.4,17,97,
TX,2,16,,,54,Control,95,
TX,2,16,,,54,108,92,
TX,2,16,,,54,19,92,
TX,2,16,,,54,17,96,
MO,2,1,,80.6,80.8,Control,100,
MO,2,1,,,80.8,Twin,97,A
MO,2,1,,,80.8,Twin,95,B
MO,2,1,,,80.8,Blue,55,
MO,2,1,,,80.8,Grey,97,
MO,2,2,,77,75.6,Control,102,
MO,2,2,,,75.6,Twin,99,A
MO,2,2,,,75.6,Twin,95,B
MO,2,2,,,75.6,Blue,24,
MO,2,2,,,75.6,Grey,62,
MO,2,3,,95,94.8,Control,80,
MO,2,3,,,94.8,Twin,68,
MO,2,3,,,94.8,Blue,74,
MO,2,3,,,94.8,Grey,82,
MO,2,4,,39.2,45.3,Control,100,
MO,2,4,,,45.3,Twin,99,
MO,2,4,,,45.3,Grey,100,
MO,2,5,,53.6,53.4,Control,97,
MO,2,5,,,53.4,Twin,93,A
MO,2,5,,,53.4,Twin,88,B
MO,2,5,,,53.4,Blue,96,
MO,2,5,,,53.4,Grey,96,
MO,2,6,,89,89.2,Control,95,
MO,2,6,,,89.2,Twin,100,
MO,2,6,,,89.2,Grey,95,
MO,2,8,,86,87.3,Control,99,
MO,2,8,,,87.3,Twin,13,
MO,2,8,,,87.3,Blue,16,
MO,2,8,,,87.3,Grey,98,
MO,2,13,,68,69.8,Control,103,
MO,2,13,,,69.8,Twin,96,
MO,2,13,,,69.8,Blue,93,
MO,2,13,,,69.8,Grey,98,