Month,State,TempF,TempC,,
Jan,MI,24,-4.44,,9.856219444
Feb,MI,26,-3.33,,
Mar,MI,35,1.67,,
Apr,MI,48,8.89,,
May,MI,59,15.00,,
Jun,MI,68,20.00,,
Jul,MI,72,22.22,,
Aug,MI,70,21.11,,
Sep,MI,63,17.22,,
Oct,MI,51,10.56,,
Nov,MI,40,4.44,,
Dec,MI,29,-1.67,,
Jan,MO,32,0.00,,
Feb,MO,35,1.67,,
Mar,MO,46,7.78,,
Apr,MO,57,13.89,,
May,MO,66,18.89,,
Jun,MO,74,23.33,,
Jul,MO,78,25.56,,
Aug,MO,76,24.44,,
Sep,MO,68,20.00,,
Oct,MO,57,13.89,,
Nov,MO,46,7.78,,
Dec,MO,35,1.67,,
Jan,TX,49,9.44,,
Feb,TX,52,11.11,,
Mar,TX,59,15.00,,
Apr,TX,66,18.89,,
May,TX,73,22.78,,
Jun,TX,80,26.67,,
Jul,TX,83,28.33,,
Aug,TX,83,28.33,,
Sep,TX,77,25.00,,
Oct,TX,67,19.44,,
Nov,TX,58,14.44,,
Dec,TX,50,10.00,,